,Unnamed: 0,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
0,0,2021-01-15,363337.00,Broomhouse,1993,Yes,Yes,Detached, 1-Storey,3,1,no
1,1,2021-01-15,448551.00,Broomhouse,1987,Yes,Yes,Detached, 1.5-Storey,3,2,no
2,2,2021-01-15,91929.00,Beacon Hill,1958,Yes,No,Bungalow, 1-Storey,1,1,no
3,3,2021-01-15,574519.00,Beacon Hill,1932,Yes,No,Detached, 2-Storey,3,1,no
4,4,2021-01-15,370181.00,Oak Park,1961,Yes,Yes,Detached, 1-Storey,3,2,no
5,5,2021-01-15,192553.00,Beacon Hill,1949,No,No,Bungalow, 1-Storey,2,1,no
6,6,2021-01-15,141336.00,Beacon Hill,1950,No,No,Bungalow, 1-Storey,1,1,yes
7,7,2021-01-15,311600.00,Brookville,1987,Yes,Yes,Detached, 1-Storey,3,1,no
8,8,2021-01-15,751680.00,Brookville,2017,Yes,Yes,Detached, 1-Storey,3,2,no
9,9,2021-01-15,528045.00,Brookville,2014,Yes,Yes,Detached, 2-Storey,3,2,no
10,10,2021-01-15,343151.00,Brookville,2006,Yes,Yes,Detached, 1-Storey,3,1,no
11,11,2021-01-15,377862.00,Broomhouse,1977,Yes,Unknown,Detached, 1.5-Storey,3,1,yes
12,12,2021-01-15,454968.00,Broomhouse,1961,Yes,No,Detached, 1-Storey,3,1,no
13,13,2021-01-15,325569.00,Broomhouse,1978,Yes,No,Detached, 1-Storey,3,1,yes
14,14,2021-01-15,316918.00,Rivermount,1928,Yes,No,Terraced, 2-Storey,4,1,no
15,15,2021-01-15,311611.00,Rivermount,1922,Yes,Unknown,Terraced, 2-Storey,4,1,no
16,16,2021-01-15,291368.00,Oak Park,1974,Yes,No,Detached, 1-Storey,2,1,yes
17,17,2021-01-15,659008.00,Oak Park,1985,Yes,Yes,Detached, 1-Storey,3,2,yes
18,18,2021-01-15,334056.00,Oak Park,,Yes,No,Detached, 1.5-Storey,3,1,yes
19,19,2021-01-15,256276.00,Oak Park,1974,No,No,Duplex, 1-Storey,2,2,no
20,20,2021-03-02,464065.00,Brookville,2018,Yes,Yes,Detached, 1-Storey,3,2,yes
21,21,2021-03-02,286256.00,Brookville,1984,Yes,Yes,Detached, 1-Storey,3,1,no
22,22,2021-03-02,230633.00,Broomhouse,,Yes,No,Bungalow, 1-Storey,2,1,no
23,23,2021-03-02,341354.00,Broomhouse,1974,Yes,Yes,Detached, 1-Storey,3,1,no
24,24,2021-03-02,216920.00,Rivermount,1942,Yes,Yes,Bungalow, 1-Storey,2,1,yes
25,25,2021-03-02,316356.00,Rivermount,1885,Yes,No,Detached, 2-Storey,4,2,no
26,26,2021-03-02,563000.00,Avoca,2009,Yes,Yes,Detached, 2-Storey,3,3,no
27,27,2021-03-02,371089.00,Oak Park,1983,Yes,Yes,Detached, 1-Storey,3,1,no
28,28,2021-03-02,1062900.00,Avoca,2018,Yes,Yes,Detached, 2-Storey,3,2,no
