,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Stories,Bedrooms,Bathrooms,First Time Buyer
0,2024-01-05,578025.0,Porter Square,2012.0,Yes,Yes,Detached,2.0,3,2,no
1,2024-01-05,635169.0,Porter Square,1977.0,Yes,Yes,Detached,2.0,2,2,no
2,2024-01-05,401675.0,Oak Park,1972.0,Yes,No,Duplex,2.0,5,2,no
3,2024-01-05,351616.0,Oak Park,1973.0,Yes,Yes,Detached,1.0,3,1,yes
4,2024-01-05,322966.0,Broomhouse,1977.0,Yes,Yes,Detached,1.0,3,1,no
5,2024-01-05,361166.0,Broomhouse,1974.0,Yes,Yes,Detached,1.0,4,1,no
6,2024-01-05,403791.0,Broomhouse,1969.0,Yes,No,Detached,1.0,3,2,no
7,2024-01-05,435907.0,Broomhouse,1967.0,Yes,Yes,Detached,1.0,4,2,yes
8,2024-01-05,375592.0,Avoca,1967.0,Yes,No,Terraced,1.0,3,1,no
9,2024-01-05,705578.0,Brookville,2017.0,Yes,Yes,Detached,1.0,3,2,no
10,2024-01-05,265895.0,Brookville,1990.0,Yes,Yes,Bungalow,1.0,3,2,no
11,2024-01-05,545578.0,Brookville,2013.0,Yes,Yes,Detached,1.0,3,2,no
12,2024-01-05,709606.0,Brookville,2005.0,Yes,Yes,Detached,2.0,4,3,no
13,2024-01-05,638626.0,Brookville,2015.0,Yes,Yes,Detached,2.0,3,2,no
14,2024-01-05,452748.0,Avoca,2012.0,Yes,Unknown,Detached,2.0,3,2,no
15,2024-01-05,746976.0,Avoca,2008.0,No,No,Semi-Detached,1.0,1,2,no
16,2024-01-05,408714.0,Oak Park,1974.0,Yes,Yes,Detached,1.0,3,1,yes
17,2024-01-05,331160.0,Oak Park,1971.0,Yes,No,Detached,1.0,3,1,no
18,2024-01-05,635957.0,Brookville,2018.0,Yes,Yes,Detached,1.0,3,2,no
19,2024-01-05,329309.0,Brookville,1988.0,Yes,Yes,Detached,1.0,3,1,no
20,2024-02-02,503531.0,Brookville,2007.0,Yes,Yes,Detached,1.0,3,2,yes
21,2024-02-02,376904.0,Brookville,2012.0,Yes,No,Semi-Detached,1.0,1,1,no
22,2024-02-02,328710.0,Oak Park,1966.0,Yes,No,Detached,1.0,3,1,no
23,2024-02-02,423773.0,Brookville,2020.0,Yes,Yes,Detached,1.0,3,2,no
24,2024-02-02,662783.0,Brookville,2020.0,Yes,Yes,Detached,1.0,3,2,no
25,2024-02-02,454983.0,Avoca,2012.0,Yes,Yes,Detached,2.0,3,2,no
26,2024-02-02,297155.0,Beacon Hill,1970.0,Yes,No,Detached,1.0,2,1,no
27,2024-02-02,548775.0,Brookville,2018.0,Yes,Yes,Detached,1.0,2,2,no
28,2024-02-02,285085.0,Broomhouse,1970.0,Unknown,No,Detached,1.5,3,1,no
29,2024-02-02,510413.0,Brookville,2014.0,Yes,No,Detached,2.0,3,2,yes
30,2024-02-02,328215.0,Broomhouse,1962.0,Yes,Yes,Detached,1.0,2,2,no
31,2024-02-02,618484.0,Brookville,2014.0,Yes,Unknown,Detached,1.0,3,2,no
32,2024-02-02,343616.0,Brookville,1982.0,Yes,Yes,Detached,1.0,3,1,no
33,2024-02-02,417612.0,Oak Park,1974.0,Yes,Yes,Detached,1.0,3,1,yes
34,2024-02-02,849277.0,Avoca,2020.0,Yes,Yes,Detached,1.0,3,2,no
35,2024-02-02,617675.0,Avoca,2011.0,Yes,Yes,Detached,2.0,4,2,no
36,2024-02-02,882491.0,Avoca,2017.0,Yes,No,Semi-Detached,1.0,2,2,no
37,2024-02-02,311634.0,Broomhouse,1979.0,Yes,Unknown,Detached,1.0,3,1,yes
