,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Stories,Bedrooms,Bathrooms,First Time Buyer
0,2022-01-03,826869.0,Brookville,2013.0,Yes,No,Detached,2.0,3,2,no
1,2022-01-03,572230.0,Porter Square,2019.0,Yes,No,Detached,2.0,4,2,yes
2,2022-01-03,325741.0,Beacon Hill,1960.0,Yes,No,Detached,1.0,2,1,no
3,2022-01-03,357319.0,Beacon Hill,1946.0,Yes,Yes,Detached,1.0,3,1,yes
4,2022-01-03,320184.0,Brookville,1984.0,Yes,Yes,Detached,1.0,2,1,no
5,2022-01-03,807275.0,Brookville,2020.0,Yes,Yes,Detached,1.0,3,2,no
6,2022-01-03,474077.0,Brookville,2019.0,Yes,Yes,Detached,1.0,3,2,no
7,2022-01-03,272069.0,Summerston,1922.0,No,No,Terraced,2.0,3,1,yes
8,2022-01-03,386586.0,Brookville,2016.0,Yes,No,Semi-Detached,1.0,1,1,no
9,2022-01-03,642555.0,Brookville,2015.0,Yes,No,Detached,2.0,3,2,yes
10,2022-01-03,300692.0,Beacon Hill,1977.0,Yes,No,Terraced,1.0,2,1,yes
11,2022-01-03,557290.0,Beacon Hill,1929.0,Yes,Yes,Detached,2.0,5,2,no
12,2022-01-03,332389.0,Broomhouse,1977.0,Yes,Yes,Detached,1.0,3,1,no
13,2022-01-03,556175.0,Brookville,2015.0,Yes,Unknown,Detached,2.0,3,2,no
14,2022-01-03,608156.0,Porter Square,2017.0,Yes,Yes,Detached,2.0,3,2,yes
15,2022-01-03,486088.0,Avoca,2016.0,Yes,Yes,Detached,2.0,3,2,no
16,2022-01-03,375657.0,Brookville,2006.0,Yes,Yes,Detached,1.0,3,1,no
17,2022-01-03,504822.0,Brookville,2010.0,Yes,Yes,Detached,2.0,4,2,no
18,2022-01-03,449170.0,Oak Park,1974.0,Yes,No,Detached,2.0,4,1,no
19,2022-01-03,456207.0,Oak Park,1978.0,Yes,Yes,Detached,1.5,3,1,no
20,2022-03-07,445127.0,Porter Square,2017.0,Yes,Yes,Semi-Detached,2.0,2,2,no
21,2022-03-07,412061.0,Porter Square,2018.0,Yes,Yes,End-of-Terrace,2.0,3,2,yes
22,2022-03-07,669698.0,Porter Square,2016.0,Yes,No,Detached,2.0,3,2,no
23,2022-03-07,418270.0,Porter Square,2011.0,Yes,Yes,End-of-Terrace,2.0,2,2,yes
24,2022-03-07,728565.0,Porter Square,2010.0,Yes,Yes,Detached,2.0,3,2,no
25,2022-03-07,1161419.0,Avoca,2015.0,Yes,Yes,Detached,2.0,3,2,no
26,2022-03-07,314380.0,Brookville,2015.0,Yes,No,Semi-Detached,1.0,1,1,no
27,2022-03-07,638788.0,Brookville,2014.0,Yes,Yes,Detached,2.0,3,2,no
28,2022-03-07,235991.0,Summerston,1966.0,Yes,No,Bungalow,1.0,4,1,yes
29,2022-03-07,566022.0,Porter Square,2020.0,Yes,No,Detached,2.0,4,2,yes
30,2022-03-07,451859.0,Porter Square,2018.0,Yes,Yes,Semi-Detached,2.0,2,2,yes
31,2022-03-07,314496.0,Brookville,2013.0,Yes,No,Semi-Detached,1.0,1,1,no
32,2022-03-07,323051.0,Oak Park,1957.0,Yes,Yes,Detached,1.0,3,1,yes
33,2022-03-07,304061.0,Summerston,1912.0,Yes,Yes,Detached,1.0,4,1,no
