,Sale Date,Sale Price,Location,Year Built,Garden,Garage,Type,Style,Bedrooms,Bathrooms,First Time Buyer
0,Sold 2022-01-03,"€826,869.00",Brookville,2013,Yes,No, Detached, 2-Storey,3,2,No
1,Sold 2022-01-03,"€572,230.00",Porter Square,2019,Yes,No, Detached, 2-Storey,4,2,Yes
2,Sold 2022-01-03,"€325,741.00",Beacon Hill,1960,Yes,No, Detached, 1-Storey,2,1,NO
3,Sold 2022-01-03,"€357,319.00",Beacon Hill,1946,Yes,Yes, Detached, 1-Storey,3,1,Yes
4,Sold 2022-01-03,"€ 320,184",Brookville,1984,Yes,Yes, Detached, 1-Storey,2,1,No
5,Sold 2022-01-03,"€ 807,275",Brookville,2020,Yes,Yes, Detached, 1-Storey,3,2,NO
6,Sold 2022-01-03,"€474,077.00",Brookville,2019,Yes,Yes, Detached, 1-Storey,3,2,No
7,Sold 2022-01-03,"€272,069.00",Summerston,1922,No,No, Terraced, 2-Storey,3,1,Yes
8,Sold 2022-01-03,"€386,586.00",Brookville,2016,Yes,No, Semi-Detached, 1-Storey,1,1,No
9,Sold 2022-01-03,"€642,555.00",Brookville,2015,Yes,No, Detached, 2-Storey,3,2,Yes
10,Sold 2022-01-03,"€ 300,692",Beacon Hill,Unknown,Yes,No, Terraced, 1-Storey,2,1,Yes
11,Sold 2022-01-03,"€557,290.00",Beacon Hill,1929,Yes,Yes, Detached, 2-Storey,5,2,No
12,Sold 2022-01-03,"€332,389.00",Broomhouse,1977,Yes,Yes, Detached, 1-Storey,3,1,No
13,Sold 2022-01-03,"€556,175.00",Brookville,2015,Yes,???, Detached, 2-Storey,3,2,No
14,Sold 2022-01-03,"€608,156.00",Porter Square,2017,Yes,Yes, Detached, 2-Storey,3,2,Yes
15,Sold 2022-01-03,"€486,088.00",Avoca,2016,Yes,Yes, Detached, 2-Storey,3,2,No
16,Sold 2022-01-03,"€375,657.00",Brookville,2006,Yes,Yes, Detached, 1-Storey,3,1,No
17,Sold 2022-01-03,"€504,822.00",Brookville,2010,Yes,Yes, Det., 2-Storey,4,2,No
18,Sold 2022-01-03,"€449,170.00",Oak Park,1974,Yes,No, Detached, 2-Storey,4,1,No
19,Sold 2022-01-03,"€456,207.00",Oak Park,1978,Yes,Yes, Detached, 1.5-Storey,3,1,No
20,Sold 2022-03-07,"€ 445,127",Porter Square,2017,Yes,Yes, Semi-Detached, 2-Storey,2,2,No
21,Sold 2022-03-07,"€412,061.00",Porter Square,2018,Yes,Yes, End-of-Terrace, 2-Storey,3,2,Yes
22,Sold 2022-03-07,"€ 669,698",Porter Square,2016,Yes,No, Detached, 2-Storey,3,2,No
23,Sold 2022-03-07,"€418,270.00",Porter Square,2011,Yes,Yes, End-of-Terrace, 2-Storey,2,2,Yes
24,Sold 2022-03-07,"€728,565.00",Porter Square,2010,Yes,Yes, Detached, 2-Storey,3,2,No
25,Sold 2022-03-07,"€1,161,419.00",Avoca,2015,Yes,Yes, Detached, 2-Storey,3,2,No
26,Sold 2022-03-07,"€314,380.00",Brookville,2015,Yes,No, Semi-Detached, 1-Storey,1,1,No
27,Sold 2022-03-07,"€ 638,788",Brookville,2014,Yes,Yes, Detached, 2-Storey,3,2,No
28,Sold 2022-03-07,"€235,991.00",Summerston,1966,Yes,No, Bungalow, 1-Storey,4,1,Yes
29,Sold 2022-03-07,"€566,022.00",Porter Square,2020,Yes,No, Detached, 2-Storey,4,2,Yes
30,Sold 2022-03-07,"€ 451,859",Porter Square,2018,Yes,Yes, Semi-Detached, 2-Storey,2,2,Yes
31,Sold 2022-03-07,"€314,496.00",Brookville,2013,Yes,No, Semi-Detached, 1-Storey,1,1,No
32,Sold 2022-03-07,"€323,051.00",Oak Park,1957,Yes,Yes, Detached, 1-Storey,3,1,Yes
33,Sold 2022-03-07,"€304,061.00",Summerston,1912,Yes,Yes, Detached, 1-Storey,4,1,No
34,Sold 2022-03-07,"€281,981.00",Oak Park,1984,Yes,Yes, Detached, 1-Storey,3,1,Yes
35,Sold 2022-03-07,"€ 364,911",Oak Park,1962,Yes,Yes, Detached, 1-Storey,2,1,No
36,Sold 2022-03-07,"€300,719.00",Summerston,1922,Yes,No, Detached, 1-Storey,3,1,No
